id,phase,agenda,sub,start,end,when,place,needs,pj,relevance
juni-tema,juni,Fiksasi Tema dan Design,,2026-06-06,2026-06-30,,,Color palette dll,"SC, OC, & Medkraf",
juni-recruitment-pengurus,juni,Recruitment Pengurus,Pendaftaran Pengurus Himatika,2026-06-22,2026-06-30,,,Gform,Sekretaris,
juni-rab-internal,juni,RAB,Internal,2026-06-22,2026-06-30,,,Spreadsheet RAB,OC & Bendahara,
juni-rab-eksternal,juni,RAB,Eksternal (Proposal Sponsorship),2026-06-22,2026-06-30,,,Penyesuaian RAB,OC & Bendahara,
juni-proposal-sponsor,juni,Proposal Sponsorship,Pembuatan Proposal,2026-06-22,2026-06-30,,,Proposal,Sekretaris,
juni-proposal-ttd,juni,Proposal Sponsorship,TTD,2026-06-30,2026-07-19,,,TTD sampai Warek,Sekretaris,
ja-fiksasi-tempat,juli-agustus,Fiksasi Tempat,"Opening, Closing dan Komet",2026-07-01,2026-08-31,,Anwar dan Abjan,"Kepastian tempat untuk Opening, Closing dan Komet","SC, Sekre, PR, Fahmi",terkait
ja-oprec-pendaftaran,juli-agustus,Open Recruitment,Pendaftaran Non Pengurus,2026-07-20,2026-07-24,,,"Guide Book, Konten, Design Pamflet, Gform, Surat Kesediaan, Surat Komitmen",Sekretaris & Medkraf,
ja-oprec-penambahan,juli-agustus,Open Recruitment,Penambahan Waktu,2026-07-25,2026-07-26,,,,Sekretaris & Medkraf,
ja-oprec-verifikasi,juli-agustus,Open Recruitment,Verifikasi Berkas + Jadwal Interview,2026-07-27,2026-07-27,,,,Sekretaris & Medkraf,
ja-oprec-interview-exoff,juli-agustus,Open Recruitment,Interview Ex-Officio,2026-07-27,2026-07-29,,,,Sekretaris & Medkraf,
ja-oprec-interview-kadiv,juli-agustus,Open Recruitment,Interview Kadiv,2026-07-27,2026-07-31,,,,Sekretaris & Medkraf,
ja-oprec-plotingan,juli-agustus,Open Recruitment,Plotingan,2026-08-01,2026-08-02,,,,Sekretaris & Medkraf,
ja-oprec-pengumuman,juli-agustus,Open Recruitment,Pengumuman,2026-08-03,2026-08-04,,,,Sekretaris & Medkraf,
sep-guidebook-lomba,september,Guidebook,Pendaftaran & Peraturan Lomba (Himchamp & Komet),2026-09-01,2026-09-05,,,Guidebook Pendaftaran & Lomba,"Sekretaris, Bendum, Kompetisi",utama
sep-pendaftaran-lomba,september,Pendaftaran Lomba,Komet & Himchamp,2026-09-01,2026-09-30,,,Link G-Form Pendaftaran & Publikasi Pendaftaran,Sekretaris dan Panitia,utama
sep-sponsor-list,september,Proposal Sponsorship,Menyusun List Sponsor,2026-09-01,2026-09-06,,,List Sponsor,Daspro & Humas,
sep-sponsor-online,september,Proposal Sponsorship,Penyebaran Proposal Online,2026-09-06,2026-09-30,,,File Proposal Final,Daspro & Humas,
sep-sponsor-offline,september,Proposal Sponsorship,Penyebaran Offline,2026-09-15,2026-09-30,,,Print-out proposal sponsorship & surat pengantar sponsor,Humas,
sep-proposal-kegiatan,september,Proposal Kegiatan,Pembuatan Proposal Himchamp & Komet,2026-09-01,2026-09-30,,,Proposal Kegiatan & RAB,Sekretaris,terkait
sep-gform-pendaftaran,september,Gform Pendaftaran,"Eksternal (Komet, Himchamp & Dordar), Internal (PPMTK & Bazar)",2026-09-01,2026-09-30,,,"Header Gform, dst",Sekretaris,terkait
sep-gform-presensi,september,Gform Presensi,"Milad, Komet, Himchamp, Dordar, MathTalk",2026-09-01,2026-09-30,,,"Header Gform, dst",Sekretaris,
sep-presensi-panitia,september,Presensi Panitia,Semua Kegiatan Offline,2026-09-01,2026-09-30,,,Format Presensi,Sekretaris,
sep-konsep-dekorasi,september,Konsep Dekorasi,,2026-09-01,2026-09-30,,,Draft konsep/sketsa dekorasi,Delog,
